id;sigla;nome
10;PRB;PARTIDO REPUBLICANO BRASILEIRO
11;PP;PARTIDO PROGRESSISTA
12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA
13;PT;PARTIDO DOS TRABALHADORES
14;PTB;PARTIDO TRABALHISTA BRASILEIRO
15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO
16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO
17;PSL;PARTIDO SOCIAL LIBERAL
19;PTN;PARTIDO TRABALHISTA NACIONAL
20;PSC;PARTIDO SOCIAL CRISTÃO
21;PCB;PARTIDO COMUNISTA BRASILEIRO
22;PR;PARTIDO DA REPÚBLICA
23;PPS;PARTIDO POPULAR SOCIALISTA
25;DEM;DEMOCRATAS
27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO
28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
29;PCO;PARTIDO DA CAUSA OPERÁRIA
31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE
33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL
36;PTC;PARTIDO TRABALHISTA CRISTÃO
40;PSB;PARTIDO SOCIALISTA BRASILEIRO
43;PV;PARTIDO VERDE
44;PRP;PARTIDO REPUBLICANO PROGRESSISTA
45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
50;PSOL;PARTIDO SOCIALISMO E LIBERDADE
51;PEN;PARTIDO ECOLÓGICO NACIONAL
54;PPL;PARTIDO PÁTRIA LIVRE
55;PSD;PARTIDO SOCIAL DEMOCRÁTICO
65;PC DO B;PARTIDO COMUNISTA DO BRASIL
70;PT DO B;PARTIDO TRABALHISTA DO BRASIL
77;SD;SOLIDARIEDADE
90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL